Center,Width (Cm),Height (Cm),Contour Area (Cm^2),Contour Perimeter (Cm),Solidity,Fit Ellipse,Rectangle Fill,Bounding Rectangle Perimeter,Equivalent Diameter (Cm),Circulation Factor,Compactness,Elongation,Aspect Ratio,Ratio Surface of Volume,Mean RGB,NDIrg,NDIrb,NDIgb,Mean HSV,GLCM contrast,GLCM Dissimilarity,Homogeneity,ASM,Correlation
"(60.0, 173.5)",0.34174994785689194,0.5646303486331259,0.15090365568797495,1.5777520091785646,0.9736467236467237,"((58.70112609863281, 173.31915283203125), (21.795913696289062, 41.97044372558594), 107.52313995361328)",0.5697940503432495,0.8703587309258883,0.4383337790622906,0.5022140624678759,0.7617845161527738,0.2459016393442623,1.6521739130434783,2.813997991066426e-10,"{'blue': 62.94808743169399, 'green': 58.44535519125683, 'red': 55.23087431693989}",0.028277511361840226,0.06530107384627792,0.037092054887293086,"{'hue': 107.59016393442623, 'saturation': 31.16256830601093, 'value': 62.94808743169399}",0.09840873820290623,0.0019739170682566923,0.9998461395764565,0.9990646377051017,0.9679126198270224
"(317.70001220703125, 168.39999389648438)",0.7375960166286066,0.3322504824516968,0.19207926912734194,1.8458270597279418,0.9715242881072027,"((317.82080078125, 168.42059326171875), (22.270153045654297, 50.34642791748047), 155.51864624023438)",0.4765766180661462,0.862659765356391,0.4945330334535395,0.5875450012969622,0.7084485923205016,0.37888195598655156,2.219999836225489,1.2094591794845904e-10,"{'blue': 67.46428571428571, 'green': 63.027056277056275, 'red': 60.89393939393939}",0.017213522775905186,0.05118757531656253,0.03400401410634155,"{'hue': 110.79112554112554, 'saturation': 24.857142857142858, 'value': 67.46428571428571}",0.22507604840366408,0.003894618817431854,0.9997926712607729,0.9987999483707602,0.9502425456404909
"(116.5, 164.0)",0.5943477354032903,0.28231517431656294,0.13600095377292257,1.5618373463081552,0.9677926158680282,"((116.63833618164062, 163.16574096679688), (18.599172592163086, 44.54497146606445), 170.68824768066406)",0.46578947368421053,0.8907855739027767,0.4161271349784629,0.4971482679409426,0.70061625854525,0.3559322033898305,2.1052631578947367,4.0492641327474895e-10,"{'blue': 65.69774436090226, 'green': 61.060150375939855, 'red': 57.84812030075188}",0.0270126716519167,0.0635361132911567,0.036586233866787866,"{'hue': 107.8015037593985, 'saturation': 30.430075187969926, 'value': 65.69774436090226}",0.18926708892403563,0.0034763216581398387,0.9997996567645776,0.9991264764265175,0.938083317946082
"(184.5, 166.0)",0.6834998957137839,0.31203256108672744,0.17673500567406575,1.738648292262502,0.9786063569682152,"((184.4418182373047, 165.94012451171875), (21.957998275756836, 47.79609680175781), 176.51239013671875)",0.4668737060041408,0.8732253179621341,0.47436905270391944,0.553428940023719,0.734698182644122,0.373134328358209,2.1904761904761907,1.6186163475396135e-10,"{'blue': 65.33372365339578, 'green': 60.649882903981265, 'red': 57.522248243559716}",0.026466770357809144,0.0635823825481568,0.0371781763809367,"{'hue': 108.11007025761124, 'saturation': 30.347775175644028, 'value': 65.33372365339578}",0.21015595801187562,0.0037894257448288335,0.9998001493142261,0.9988852869593173,0.9456023038959672
"(252.5, 162.5)",0.6389238155585372,0.31203256108672744,0.15829981145322317,1.6407921105265422,0.9728629579375848,"((252.47103881835938, 162.31072998046875), (20.877239227294922, 44.54689025878906), 175.3378143310547)",0.49058693244739754,0.8627062980085611,0.44894719050948967,0.5222803499529655,0.7388957070607796,0.34375,2.0476190476190474,2.3800799968980445e-10,"{'blue': 66.38461538461539, 'green': 61.88135593220339, 'red': 58.902216427640155}",0.024665105062641683,0.05972214990810462,0.03510876191611262,"{'hue': 108.22816166883963, 'saturation': 28.66753585397653, 'value': 66.38461538461539}",0.20699026530930467,0.0036495808365448164,0.9998069269913049,0.9989965996865431,0.9426169615578005
"(453.5, 160.0)",0.5943477354032903,0.2525977875463984,0.12672816147022328,1.5147119131444697,0.9753610875106202,"((452.8231506347656, 159.6283721923828), (17.830459594726562, 43.197357177734375), 1.5415886640548706)",0.43970588235294117,0.8942203908635858,0.4016905607746731,0.48214777667424796,0.6941013931151937,0.40350877192982454,2.3529411764705883,5.184620537005797e-10,"{'blue': 68.25442834138487, 'green': 64.39935587761674, 'red': 63.07085346215781}",0.010422061917820951,0.03947126405587579,0.029061157083144863,"{'hue': 112.67471819645732, 'saturation': 19.272141706924316, 'value': 68.25442834138487}",0.20884166338711785,0.0034750840925798047,0.9998454023432198,0.9991809091740964,0.9343074777231273
"(384.5, 159.5)",0.6686412023287016,0.2525977875463984,0.14074774030882814,1.654594832655003,0.9755164498852333,"((384.0802917480469, 159.48049926757812), (17.733753204345703, 47.65509033203125), 4.906237602233887)",0.39215686274509803,0.8980269239794824,0.4233268108604926,0.5266738928627023,0.6460527325032827,0.45161290322580644,2.6470588235294117,3.591103625191054e-10,"{'blue': 68.27431059506532, 'green': 64.49492017416546, 'red': 62.00290275761974}",0.019700081446615492,0.048138946721663425,0.028465860622649213,"{'hue': 108.6923076923077, 'saturation': 23.426705370101597, 'value': 68.27431059506532}",0.2346708941906198,0.003906994473032207,0.9998261087299266,0.9990906105268127,0.9330064661863592
"(520.5, 155.5)",0.6686412023287016,0.31203256108672744,0.16437128260380007,1.7089309072636318,0.967511371020143,"((520.9990234375, 155.01963806152344), (20.66034507751465, 47.50496292114258), 174.9635772705078)",0.4560846560846561,0.8713044903495095,0.4574757010268384,0.5439696025870489,0.7072725439505659,0.36363636363636365,2.142857142857143,2.086325863544275e-10,"{'blue': 69.34504391468005, 'green': 65.89585947302383, 'red': 64.89460476787954}",0.007655410585090788,0.03315294093185013,0.02550400324684177,"{'hue': 113.27352572145546, 'saturation': 16.28858218318695, 'value': 69.34504391468005}",0.25440140191426625,0.004138419232758852,0.999792857709693,0.9989570191952248,0.940621259501103
"(588.5, 155.5)",0.6983585890988662,0.31203256108672744,0.17474797875205877,1.7857737201123047,0.970570202329859,"((589.667236328125, 155.48841857910156), (21.57617950439453, 49.55083084106445), 171.55169677734375)",0.4447821681864235,0.8837041574365953,0.4716948557167665,0.5684294295989523,0.6886034117984532,0.38235294117647056,2.238095238095238,1.6839546133010787e-10,"{'blue': 71.02479338842974, 'green': 68.01652892561984, 'red': 66.62927981109799}",0.010302950582027686,0.031931591067177204,0.02163575842476259,"{'hue': 110.80873671782763, 'saturation': 15.69775678866588, 'value': 71.0271546635183}",0.2782740415673518,0.004513401597449621,0.9997513170008226,0.998892696216838,0.9424365104347106
"(656.5, 153.0)",0.6834998957137839,0.34174994785689194,0.19185848835823005,1.8067870836857087,0.973124300111982,"((656.2918701171875, 152.95016479492188), (23.170610427856445, 49.15152359008789), 179.09701538085938)",0.501890359168242,0.8811447741328806,0.4942487373487254,0.575118190966341,0.7385449415882507,0.3333333333333333,2.0,1.2143374299812063e-10,"{'blue': 82.93837837837837, 'green': 80.37513513513514, 'red': 79.36216216216216}",0.006341493123259226,0.022034530520367954,0.01569523052029381,"{'hue': 106.63891891891892, 'saturation': 14.147027027027027, 'value': 83.24864864864865}",0.6070011558862326,0.005742304198564907,0.9997357579674249,0.9987974631217158,0.9354297669565663
"(57.5, 103.5)",0.34174994785689194,0.5794890420182081,0.1563127845312162,1.59876538160844,0.9758787043418332,"((56.834381103515625, 103.64762115478516), (22.14853286743164, 42.007389068603516), 106.02368927001953)",0.5607580824972129,0.8677256386126241,0.44612063235498456,0.5089028266543671,0.768484109986481,0.25806451612903225,1.6956521739130435,2.4876667262464193e-10,"{'blue': 62.15323645970938, 'green': 57.27344782034346, 'red': 54.253632760898284}",0.02707696678689354,0.06786200629667327,0.040860119869332676,"{'hue': 108.74372523117569, 'saturation': 32.26023778071334, 'value': 62.15323645970938}",0.09876144438751644,0.0019702043715765843,0.9998458701785488,0.9990337166610078,0.9677659897963192
"(316.6671447753906, 97.9123306274414)",0.7676289488473594,0.28931912697431766,0.18104023067174757,1.9133472903897233,0.9579439252336449,"((316.7151794433594, 98.00479888916016), (19.772886276245117, 55.08317947387695), 96.98748016357422)",0.8052259646845707,0.9051283285142824,0.48011205033746523,0.6090373582340172,0.6214373428822028,0.4525386183244633,2.653225719554658,1.4878533113287114e-10,"{'blue': 67.97840909090908, 'green': 64.01704545454545, 'red': 61.25340909090909}",0.022061358134750287,0.05203826804738339,0.03001136400495018,"{'hue': 108.11363636363636, 'saturation': 25.254545454545454, 'value': 67.97840909090908}",0.11112596189783157,0.0020914857964600677,0.9998089120298139,0.9988840456241851,0.9747821870989855
"(453.1153564453125, 100.92304992675781)",0.6428853931573766,0.23490041794484104,0.11303975378528629,1.5465412459704655,0.9507892293407614,"((453.69854736328125, 101.62631225585938), (15.24439525604248, 45.231441497802734), 147.97218322753906)",0.3918128616810951,0.8809331538570356,0.3793767054611456,0.49227936798339667,0.5939064649763124,0.4647887560408811,2.736842270363001,7.735060872337366e-10,"{'blue': 70.91756272401433, 'green': 67.52329749103943, 'red': 64.74193548387096}",0.02102867051686366,0.045522999253082216,0.024517799335040807,"{'hue': 107.33512544802868, 'saturation': 22.197132616487455, 'value': 70.91756272401433}",0.20371195414077076,0.0034515703469391278,0.9998293908489321,0.9992637884583793,0.934571372842089
"(182.5, 99.0)",0.6537825089436194,0.28231517431656294,0.1492477999196358,1.6458908094582427,0.9797101449275363,"((182.14535522460938, 99.18866729736328), (19.847457885742188, 45.50661849975586), 169.9799041748047)",0.4366028708133971,0.8791234285112411,0.4359222417156548,0.5239033162296004,0.6923341618593106,0.3968253968253968,2.3157894736842106,2.9247931937969336e-10,"{'blue': 64.76478679504814, 'green': 59.73452544704264, 'red': 56.73452544704264}",0.025757915724344237,0.06609306006107812,0.04040392877178056,"{'hue': 109.03026134800551, 'saturation': 31.51169188445667, 'value': 64.76478679504814}",0.20155116467294842,0.0035889401241030756,0.9998298865898496,0.9990448446019182,0.9372203350706401
"(522.5, 94.0)",0.5646303486331259,0.31203256108672744,0.14306593838450296,1.574146688456093,0.9564575645756458,"((522.4973754882812, 93.65485382080078), (21.828277587890625, 39.6641960144043), 176.95103454589844)",0.5538847117794486,0.8978061413360854,0.4267987936437888,0.50106645323905,0.7255305626997244,0.288135593220339,1.8095238095238095,3.3915332460954815e-10,"{'blue': 70.60545193687231, 'green': 67.49497847919656, 'red': 64.30989956958393}",0.024165106438756623,0.04666298010068049,0.022523271260286394,"{'hue': 105.43041606886658, 'saturation': 22.638450502152082, 'value': 70.60545193687231}",0.2247480935302546,0.0036570062299050325,0.9998121882934923,0.9990881323999447,0.9416149765430152
"(113.0, 96.0)",0.6240651221734549,0.29717386770164517,0.15233873068720222,1.6161734173741953,0.9697821503865074,"((113.41537475585938, 95.87659454345703), (20.21735954284668, 45.82513427734375), 178.06521606445312)",0.48333333333333334,0.877173803506359,0.4404130971096408,0.5144439765376481,0.7328992514875646,0.3548387096774194,2.1,2.7223050051022486e-10,"{'blue': 63.43783783783784, 'green': 58.18513513513514, 'red': 55.152702702702705}",0.026755693311316105,0.06986337266349249,0.04318840898216748,"{'hue': 109.16216216216216, 'saturation': 33.17027027027027, 'value': 63.43783783783784}",0.17975020976736242,0.003345139708776072,0.9998242196124647,0.9990312382385477,0.9419625899901658
"(247.5, 97.0)",0.6834998957137839,0.31203256108672744,0.16867650760148187,1.7299442672944472,0.9670886075949368,"((247.5186767578125, 96.9841079711914), (21.372772216796875, 46.21138381958008), 0.5882485508918762)",0.458592132505176,0.8688537754229645,0.4634280955510013,0.5506583628267967,0.7082722730642399,0.373134328358209,2.1904761904761907,1.9058198420435294e-10,"{'blue': 66.69767441860465, 'green': 61.90452876376988, 'red': 58.997552019583836}",0.024044058819721197,0.06126026111804156,0.03727110059156885,"{'hue': 108.90452876376987, 'saturation': 29.350061199510403, 'value': 66.69767441860465}",0.22240909462178757,0.0038822431618314975,0.9998045417710281,0.9989310492274002,0.9424100605982111
"(585.0, 90.5)",0.5497716552480436,0.20802170739115164,0.09394221725710804,1.3799277049646965,0.938257993384785,"((584.5792846679688, 90.4826431274414), (14.05645751953125, 42.648860931396484), 1.706067442893982)",0.38223938223938225,0.9104907571100721,0.3458481544433221,0.439244630709172,0.6199519096912358,0.45098039215686275,2.642857142857143,1.4782916496882397e-09,"{'blue': 71.20255863539445, 'green': 67.85501066098081, 'red': 66.85074626865672}",0.0074552447829169905,0.03152269600941483,0.024073108633674293,"{'hue': 112.71641791044776, 'saturation': 15.449893390191898, 'value': 71.20255863539445}",0.21485994470557077,0.0034045428556577786,0.9998550902213994,0.9993726562003477,0.9196366132248814
"(385.7399597167969, 93.18000030517578)",0.7102518241079385,0.3278085015028464,0.1765142249049539,1.7980830640315368,0.9673321234119783,"((385.9811706542969, 92.71322631835938), (21.351634979248047, 49.50093460083008), 164.81991577148438)",0.45232131178654117,0.8660783095498624,0.47407266463830583,0.5723476154608801,0.6860725968661295,0.36842109573936954,2.166666882804354,1.6257133082657526e-10,"{'blue': 68.4654970760234, 'green': 64.36959064327486, 'red': 62.07368421052632}",0.018157600185438133,0.048964707742189584,0.030834521962453076,"{'hue': 109.86432748538012, 'saturation': 23.790643274853803, 'value': 68.4654970760234}",0.24255666193916608,0.004109955224878037,0.9997812219330946,0.9988840435381884,0.9442020085593176
"(651.0192260742188, 86.09616088867188)",0.6498285833360785,0.27391878596812697,0.12816323646945058,1.590061354869091,0.9532019704433498,"((651.33154296875, 87.7154541015625), (17.436450958251953, 43.85667419433594), 164.20335388183594)",0.39690867559113924,0.8606581234795684,0.4039585385335335,0.5061322488936244,0.6370089950372886,0.40694004644483933,2.3723403308734445,4.984261447019154e-10,"{'blue': 222.47058823529414, 'green': 220.86486486486487, 'red': 219.8489666136725}",0.0023051199631145005,0.005926985574770974,0.003621915095755527,"{'hue': 99.65341812400636, 'saturation': 4.3131955484896665, 'value': 222.63116057233705}",2.460388001554381,0.01357238149690981,0.9998049842359731,0.9991685439932754,0.939221789925421
"(258.4433898925781, 37.19811248779297)",0.6347504761856855,0.27553477316756203,0.13666329608025823,1.5813573334436246,0.9574632637277649,"((258.3919372558594, 37.296730041503906), (17.97996711730957, 45.234657287597656), 102.94051361083984)",0.7511017201947339,0.8686053819762377,0.41713920084695316,0.5033616728243429,0.6867548277302838,0.3946188332430347,2.303703699132277,3.980992208971462e-10,"{'blue': 68.7616191904048, 'green': 64.00599700149925, 'red': 60.895052473763116}",0.024907272903752158,0.060672286351373866,0.03581914266239288,"{'hue': 108.25937031484257, 'saturation': 29.1904047976012, 'value': 68.7616191904048}",0.11045643892985234,0.001976392199376763,0.9998584656355971,0.9991475115289595,0.9671954805723655
"(316.2741394042969, 33.837562561035156)",0.6373001196863864,0.2879495338946983,0.14681921145940505,1.633581461996422,0.965166908563135,"((315.59381103515625, 33.551536560058594), (19.38924789428711, 46.13880920410156), 169.75294494628906)",0.4379275279756825,0.8827787482404403,0.43236099032746755,0.5199851292400315,0.6913709994997378,0.37757440323221114,2.2132354620148265,3.0976535299753816e-10,"{'blue': 68.93715083798882, 'green': 64.62569832402235, 'red': 61.74022346368715}",0.022834280138432205,0.05507401267628599,0.03228032748469349,"{'hue': 108.28072625698324, 'saturation': 26.618715083798882, 'value': 68.93715083798882}",0.2225897791935528,0.00375972417138798,0.9998177711539337,0.9990609179720129,0.9393341914346937
"(46.0, 35.0)",0.7132172824839484,0.29717386770164517,0.1805986691335238,1.7944777433090653,0.9784688995215312,"((46.17500686645508, 34.719173431396484), (21.481115341186523, 51.189544677734375), 176.21292114257812)",0.43020833333333336,0.8880114117089439,0.4795261903872865,0.5712000062320541,0.7047713762273453,0.4117647058823529,2.4,1.5006245126814421e-10,"{'blue': 62.442791762013734, 'green': 57.693363844393595, 'red': 54.26315789473684}",0.030638732726849017,0.07008754810123774,0.03953370981194826,"{'hue': 107.63729977116705, 'saturation': 33.25743707093822, 'value': 62.442791762013734}",0.20006237330422577,0.003779525220348548,0.9997957582341792,0.9988580867546802,0.9438786238273911
"(111.5, 31.0)",0.6537825089436194,0.2525977875463984,0.12981909223778973,1.6038640769975518,0.9576547231270358,"((110.96839141845703, 32.72600173950195), (17.153398513793945, 45.19599914550781), 179.63221740722656)",0.3983957219251337,0.8847633180071096,0.40655971504660354,0.5105257918033612,0.6341811241571882,0.4426229508196721,2.588235294117647,4.765274884614932e-10,"{'blue': 64.63793103448276, 'green': 59.805642633228835, 'red': 56.32758620689655}",0.02994884804352993,0.06870011396829244,0.038831160621230265,"{'hue': 107.63009404388714, 'saturation': 32.65360501567398, 'value': 64.63793103448276}",0.19843126189609903,0.003513448624940908,0.9998528691235974,0.9991549347672121,0.929057043153535
"(183.14706420898438, 28.911762237548828)",0.3783950791196186,0.7603939060523863,0.2215535018037789,1.9487819421668964,0.9728550654386815,"((182.7801971435547, 29.262672424316406), (24.9894962310791, 52.007652282714844), 17.28097152709961)",0.7542766301608872,0.8556378607194504,0.5311220949754627,0.6203165582081713,0.733097923473872,0.33544302931158915,2.0095237702919753,7.338339167209957e-11,"{'blue': 66.59792843691149, 'green': 61.698681732580035, 'red': 58.548964218455744}",0.02619358979208192,0.06431613315553569,0.03818687566289097,"{'hue': 108.34839924670433, 'saturation': 30.71845574387947, 'value': 66.59792843691149}",0.23092107054371197,0.004169358371759741,0.9997454322994428,0.9986255635947925,0.9536297410722817
"(383.0, 25.0)",0.6834998957137839,0.3268912544718097,0.17640383452039793,1.7596616540646117,0.9708383961117861,"((382.9152526855469, 25.228561401367188), (21.568639755249023, 48.36006164550781), 2.780017614364624)",0.4723320158102767,0.8707823963726268,0.4739244010960909,0.5601177008272874,0.7159118399575494,0.35294117647058826,2.090909090909091,1.6292767931500435e-10,"{'blue': 70.25322391559202, 'green': 66.36342321219226, 'red': 63.55216881594372}",0.021639083886680753,0.05008060555589928,0.028472377139472593,"{'hue': 107.97420867526377, 'saturation': 24.24150058616647, 'value': 70.25322391559202}",0.2550362730465646,0.004239899608681767,0.9997718730124275,0.9988865162678092,0.9444758536572043
"(450.5738220214844, 26.188522338867188)",0.3430369277711947,0.7546812127559199,0.20786509411884188,1.9118539104092003,0.9731266149870801,"((450.0527648925781, 27.122310638427734), (22.93195343017578, 55.30602264404297), 7.469663143157959)",0.8144420730143717,0.8708309719155888,0.5144531638567362,0.6085620006223876,0.7146312820500534,0.3749999838638516,2.199999917382922,9.173550666998613e-11,"{'blue': 70.26, 'green': 66.437, 'red': 63.179}",0.02513578568607593,0.05306544559456724,0.027966963409608924,"{'hue': 106.418, 'saturation': 25.616, 'value': 70.26}",0.27605261138708814,0.004576517441011435,0.9997456930727905,0.998699766913884,0.9486213429437496
"(583.36376953125, 20.644264221191406)",0.6638668132096974,0.2981774405308138,0.15035170376519524,1.7299442672944472,0.924643584521385,"((583.0858764648438, 19.268905639648438), (18.818342208862305, 48.06189727783203), 165.30450439453125)",0.4271734719370035,0.8990980719277073,0.4375314101320649,0.5506583628267967,0.6313264632941719,0.3801169969645905,2.2264152916058486,2.8503205733607784e-10,"{'blue': 71.3841961852861, 'green': 68.41689373297002, 'red': 66.09673024523161}",0.017248538976167564,0.03845963271771222,0.021225173937689516,"{'hue': 107.49182561307902, 'saturation': 18.79291553133515, 'value': 71.3841961852861}",0.2505748492026364,0.003932983349792954,0.9998178509271554,0.9990386573725788,0.9403487209637051
"(518.5, 24.0)",0.7132172824839484,0.31203256108672744,0.18236491528641888,1.8067870836857087,0.9683470105509965,"((518.4970092773438, 24.453454971313477), (21.202030181884766, 51.4967041015625), 177.94607543945312)",0.4384920634920635,0.8811447741328806,0.4818653564170665,0.575118190966341,0.702000140105748,0.391304347826087,2.2857142857142856,1.4503687494051668e-10,"{'blue': 71.4013605442177, 'green': 67.8140589569161, 'red': 65.61904761904762}",0.016450275291865647,0.0422003772902222,0.025767990338854536,"{'hue': 109.46598639455783, 'saturation': 20.607709750566894, 'value': 71.4013605442177}",0.2781638982325089,0.004478749761768626,0.999766013426365,0.9988481740917533,0.9439622683092085
